Chọn loại khách sạn,,Chọn Loại ks,Chọn cấp sao,,"Đánh giá, chấm điểm","Đánh giá, chấm điểm",Yêu cầu đối với loại khách sạn,H,R,M,F,Yêu cầu đối với hạng sao,1,2,3,4,5,
"- Tường phẳng không thấm nước, dễ làm sạch",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,104
- Trần bếp thuận tiện cho vệ sinh và đảm bảo an toàn,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,105
"- Sàn phẳng, lát vật liệu chống trơn, dễ cọ rửa",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,106
- Phòng vệ sinh cho nhân viên bếp (bên ngoài khu vực bếp),1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"3, 4, 5(*)",,,1,1,x,107
1.10 Kho,,,,,,,,,,,,,,,,,,108
"- Kho bảo quản nguyên vật liệu, thực phẩm",1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"2, 3, 4(*), 5(*)",,1,1,x,x,109
"- Kho để đồ dùng, thiết bị dự phòng",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,110
- Các kho lạnh (theo loại thực phẩm),1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,111
"1.11 Phòng họp, hội nghị, hội thảo",,,,,,,,,,,,,,,,,,112
- 01 phòng họp 30 ghế,,Khong,Bat buoc,x,1,x,H,1,,,,3(*),,,x,,,113
- 01 phòng họp,,Khong,Khong,,,,H,1,,,,4(*),,,,x,,114
- 01 phòng hội thảo,,Khong,Khong,,,,H,1,,,,4(*),,,,x,,115
- 01 phòng hội nghị,,Khong,Khong,,,,H,1,,,,"4(*), 5(*)",,,,x,x,116
- 02 phòng họp,,Khong,Khong,,,,H,1,,,,5(*),,,,,x,117
- 02 phòng hội thảo,,Khong,Khong,,1,,H,1,,,,5(*),,,,,x,118
"- Sảnh chờ, đăng ký khách và giải khát giữa giờ",,Khong,Khong,,,,H,1,,,,"4(*), 5(*)",,,,x,x,119
"- Phòng vệ sinh cho nam và nữ riêng (áp dụng đối với phòng họp, hội nghị, hội thảo tách rời sảnh đón tiếp)",,Khong,Bat buoc,x,1,x,H,1,,,,"3(*), 4(*), 5(*)",,,x,x,x,120
- Cách âm tốt,,Khong,Khong,,,,H,1,,,,"4(*), 5(*)",,,,x,x,121
"1.12 Khu vực dành cho cán bộ, nhân viên",,,,,,,,,,,,,,,,,,122
- Phòng làm việc của người quản lý và các bộ phận chức năng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,123
- Phòng trực buồng,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"2, 3, 4(*), 5(*)",,1,1,x,x,124
- Phòng thay quần áo,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,125
- Phòng vệ sinh cho nam và nữ riêng,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,126
- Phòng tắm,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,127
- Phòng ăn nhân viên,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,128
1.13 Hành lang,,,,,,,,,,,,,,,,,,129
- Thuận tiện đi lại và đảm bảo an toàn thoát hiểm,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,130
"2 Trang thiết bị, tiện nghi",,,,,,,,,,,,,,,,,,131
"2.1 Chất lượng, bài trí, trang trí",,,,,,,,,,,,,,,,,,132
- Chất lượng khá,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1(*), 2(*)",x,x,,,,133
- Chất lượng tốt,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,3(*),,,x,,,134
- Chất lượng cao,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,135
- Bài trí hợp lý,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,136
- Màu sắc hài hòa,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,137
- Hoạt động tốt,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,138
- Đồng bộ,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,139
- Trang trí nội thất đẹp,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,4(*),,,,x,,140
"- Hiện đại, sang trọng",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,141
- Trang trí nghệ thuật,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5(*),,,,,x,142
2.2 Trang thiết bị nội thất,,,,,,,,,,,,,,,,,,143
2.2.1 Sảnh đón tiếp; Phòng vệ sinh sảnh và các khu vực công cộng,,,,,,,,,,,,,,,,,,144
a) Sảnh đón tiếp,,,,,,,,,,,,,,,,,,145
- Quầy lễ tân,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,146
- Điện thoại,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,147
- Máy vi tính,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,148
- Bàn ghế tiếp khách,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,149
- Bảng hoặc màn hình niêm yết giá dịch vụ và phương thức thanh toán,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,150
- Thiết bị phục vụ thanh toán bằng thẻ tín dụng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,151
- Cửa ra vào được bố trí thuận tiện,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,152
- Nơi giữ đồ và tài sản giá trị của khách,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,153
- Internet không dây (wifi),1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2, 3(*), 4(*),5(*)",1,1,x,x,x,154
- Bảng hoặc màn hình niêm yết tỷ giá ngoại tệ,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"1, 2, 3, 4, 5",1,1,1,1,1,155
- Xe đẩy cho người khuyết tật,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5(*)",,,1,1,x,156
"- Giá để báo, tạp chí hoặc hệ thống đọc báo trực tuyến (Press Reader)",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,157
"- Quầy thông tin, quan hệ khách hàng và hỗ trợ đón tiếp (trực cửa, chuyển hành lý, văn thư, xe đưa đón khách...)",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5(*)",,,,1,x,158
- Quầy lễ tân tổ chức thành các quầy phân theo chức năng:,,,,,,,,,,,,,,,,,,159
+ Quầy đặt buồng,1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5,,,,,1,160
+ Quầy đón tiếp,1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5,,,,,1,161
+ Tổng đài điện thoại,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,5,,,,,1,162
b) Phòng vệ sinh sảnh và các khu vực công cộng,,,,,,,,,,,,,,,,,,163
- Bồn cầu,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,164
- Bồn tiểu nam (phòng vệ sinh nam),1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,165
- Giấy vệ sinh,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,166
- Vòi nước di động cạnh bồn cầu,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,167
- Chậu rửa mặt,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,168
- Gương soi,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1, 2(*), 3(*), 4(*),5(*)",1,x,x,x,x,169
- Vòi nước,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,170
- Xà phòng,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,171
- Thùng rác có nắp,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,172
- Thiết bị thông gió,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,173
- Móc treo túi hoặc chỗ để túi,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,174
- Giấy hoặc khăn lau tay,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,175
- Máy sấy tay,1,Ap Dung,khuyen khich,1,,,"H, R, M, F",1,1,1,1,"3, 4, 5",,,1,1,1,176
- Hệ thống ga và xi phông thoát sàn đảm bảo ngăn mùi hôi,1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,177
2.2.2 Buồng ngủ và phòng vệ sinh trong buồng ngủ,,,,,,,,,,,,,,,,,,178
a) Buồng ngủ,,,,,,,,,,,,,,,,,,179
"- Giường đơn 0,9 m x 2 m",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1(*), 2(*)",x,x,,,,180
"- Giường đơn 1,0 m x 2 m",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"3(*), 4(*)",,,x,x,,181
"- Giường đơn 1,2 m x 2 m",1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5(*),,,,,x,182
"- Giường đôi 1,6 m x 2 m",1,Ap Dung,Bat buoc,x,,,"H, R, M, F",1,1,1,1,"1(*), 2(*), 3(*),4(*), 5(*)",x,x,x,x,x,183
"- Giường buồng đặc biệt cao cấp 2,2 m x 2,2 m",1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5(*),,,,,x,184
"- Giường cho người khuyết tật 1,8 m x 2 m",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,185
"- Đệm dày 10 cm, có ga bọc",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"1(*), 2(*)",x,x,,,,186
